Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Flu,"extreme headache, worsening fatigue, intense high fever, intense body aches",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Osteoporosis,"bone fractures easily, decreased mobility, back pain, shortness of breath, loss of height, stooped posture",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Depression,"fatigue, mild thoughts of death, sleep changes",Mild,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Dengue,"rash, nausea, muscle pain, high fever, severe headache",Mild,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Urinary Tract Infection,"pelvic pain, frequent urination, mild urgent urination",Mild,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Tuberculosis,"blood in sputum, loss of appetite, night sweats, fever, weight loss, chest pain, fatigue",Moderate,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Food Poisoning,"occasional fever, occasional dehydration, occasional nausea, vomiting, headache",Mild,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Jaundice,"mild fever, slight yellow skin, weight loss",Mild,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Kidney Stones,"blood in urine, occasional fever, burning urination",Mild,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Hepatitis C,"fluid buildup in abdomen, jaundice, swelling in legs, spider-like blood vessels, bleeding easily, fatigue, easy bruising",Moderate,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Bronchitis,"persistent cough, fatigue, chest discomfort, mucus production, wheezing, shortness of breath",Moderate,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Tuberculosis,"weight loss, persistent loss of appetite, night sweats, intense blood in sputum, chest pain, fatigue",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Gastroenteritis,"occasional diarrhea, mild fever, occasional vomiting",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Common Cold,"cough, worsening headache, congestion, intense sneezing",Severe,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Asthma,"chest tightness, mild difficulty breathing, mild shortness of breath, coughing, slight wheezing, rapid breathing",Mild,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Hepatitis A,"low-grade fever, jaundice, vomiting, fatigue, loss of appetite, nausea",Moderate,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Hepatitis C,"swelling in legs, slight confusion, fluid buildup in abdomen, slight spider-like blood vessels, slight fatigue",Mild,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Bronchitis,"intense mild fever, worsening chest discomfort, shortness of breath, fatigue, severe persistent cough, mucus production",Severe,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Pneumonia,"high fever, chills, productive cough",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Flu,"sore throat, headache, body aches, high fever, cough, fatigue",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
COVID-19,"muscle aches, dry cough, sore throat, persistent shortness of breath, fatigue",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Osteoporosis,"stooped posture, bone fractures easily, back pain, shortness of breath",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Common Cold,"mild sneezing, headache, mild mild fever, cough",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Depression,"difficulty concentrating, appetite changes, sleep changes, thoughts of death, persistent sadness, loss of interest",Moderate,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Asthma,"rapid breathing, chest tightness, wheezing",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Hepatitis B,"jaundice, fatigue, slight vomiting",Mild,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Appendicitis,"severe constipation, extreme fever, intense severe abdominal pain (lower right), nausea, abdominal bloating, severe loss of appetite",Severe,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Hepatitis A,"vomiting, dark urine, abdominal pain",Moderate,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Hepatitis C,"fluid buildup in abdomen, easy bruising, slight swelling in legs, slight spider-like blood vessels",Mild,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Hyperthyroidism,"slight difficulty sleeping, weight loss, anxiety, heat sensitivity, occasional bulging eyes",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Kidney Stones,"vomiting, pain radiating to groin, severe burning urination",Severe,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Gallstones,"mild vomiting, slight jaundice, severe abdominal pain (upper right), pain after fatty meals, slight nausea, mild clay-colored stools",Mild,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Asthma,"coughing, rapid breathing, chest tightness, shortness of breath",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Hypertension,"slight vision problems, dizziness, headache, nosebleeds, flushing",Mild,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Typhoid,"loss of appetite, weakness, severe stomach pain, diarrhea or constipation",Severe,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Osteoporosis,"bone fractures easily, back pain, decreased mobility, loss of height, stooped posture, shortness of breath",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Hyperthyroidism,"irritability, persistent sweating, severe tremor, weight loss, diarrhea",Severe,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Depression,"fatigue, thoughts of death, loss of interest, severe sleep changes, worsening feelings of worthlessness, worsening difficulty concentrating",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Depression,"appetite changes, persistent sadness, fatigue, feelings of worthlessness",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Tuberculosis,"weight loss, blood in sputum, worsening persistent cough, chest pain",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Urinary Tract Infection,"frequent urination, urgent urination, pelvic pain, blood in urine, mild cloudy urine, burning during urination",Mild,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Dengue,"vomiting, rash, nausea, muscle pain, severe headache, bleeding, joint pain",Moderate,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Gallstones,"worsening severe abdominal pain (upper right), intense fever, pain after fatty meals",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Dengue,"bleeding, worsening nausea, joint pain, severe headache, rash",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Hypertension,"chest pain, nosebleeds, flushing, dizziness, headache, vision problems, shortness of breath",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
